date,mtgox,btc-e,bitstamp,btcchina
2013-11-05 12:55:00 +0800,1443.6,1366.16,1398.88,1447.02
2013-11-05 13:55:00 +0800,1430.74,1357.75,1375.46,1415.37
2013-11-05 14:55:00 +0800,1443.64,1365.4,1388.22,1435.29
2013-11-05 15:55:00 +0800,1451.37,1371.15,1390.72,1448.54
2013-11-05 16:55:00 +0800,1431.01,1365.82,1383.32,1447.14
2013-11-05 17:55:00 +0800,1436.22,1361.39,1390.11,1446.92
2013-11-05 18:55:00 +0800,1471.02,1366.08,1403.31,1464.09
2013-11-05 19:55:00 +0800,1481.86,1402.6,1424.08,1484.44
2013-11-05 20:55:00 +0800,1485.41,1407.09,1430.48,1490.45
2013-11-05 21:55:00 +0800,1498.82,1408.77,1446.68,1490.67
2013-11-05 22:55:00 +0800,1506.58,1434.71,1477.22,1506.45
2013-11-05 23:55:00 +0800,1501.1,1433.45,1480.32,1505.91
2013-11-06 00:55:00 +0800,1544.06,1466.27,1495.98,1524.08
2013-11-06 01:55:00 +0800,1542.06,1462.06,1506.62,1526.11
2013-11-06 02:55:00 +0800,1551.24,1465.4,1496.89,1529.39
2013-11-06 03:55:00 +0800,1528.11,1441.14,1486.26,1526.5
2013-11-06 04:55:00 +0800,1478.76,1398.91,1427.96,1486.24
2013-11-06 05:55:00 +0800,1529.4,1445.33,1460.34,1508.82
2013-11-06 06:55:00 +0800,1536.78,1444.24,1472.14,1525.77
2013-11-06 07:55:00 +0800,1523.1,1438.24,1471.89,1522.41
2013-11-06 08:55:00 +0800,1545.78,1451.82,1471.04,1520.03
2013-11-06 09:55:00 +0800,1554.53,1462.79,1497.19,1533.9
2013-11-06 10:55:00 +0800,1572.43,1481.53,1515.49,1551.92
2013-11-06 11:55:00 +0800,1592.95,1498.86,1532.84,1574.23
2013-11-06 12:55:00 +0800,1609.48,1507.52,1532.07,1588.46
2013-11-06 13:55:00 +0800,1579.33,1460.65,1503.66,1577.08
2013-11-06 14:55:00 +0800,1563.96,1475.91,1508.93,1565.14
2013-11-06 15:55:00 +0800,1568.88,1481.67,1508.38,1582.29
2013-11-06 16:55:00 +0800,1598.26,1504.48,1544.37,1592.29
2013-11-06 17:55:00 +0800,1615.35,1514.64,1553.6,1606.48
2013-11-06 18:55:00 +0800,1626.28,1525.95,1569.95,1618.56
2013-11-06 19:55:00 +0800,1595.88,1508.5,1541.05,1615.06
2013-11-06 20:55:00 +0800,1601.98,1513.42,1556.13,1618.61
2013-11-06 21:55:00 +0800,1636.04,1530.34,1567.79,1620.82
2013-11-06 22:55:00 +0800,1610.97,1515.15,1559.9,1613.11
2013-11-06 23:55:00 +0800,1580.77,1508.02,1550.94,1609.75
2013-11-07 00:55:00 +0800,1569.43,1500.31,1562.6,1613.89
2013-11-07 01:55:00 +0800,1595.94,1515.16,1569.66,1620.04
2013-11-07 02:55:00 +0800,1597.55,1500.41,1577.66,1620.06
2013-11-07 03:55:00 +0800,1598.29,1516.06,1578.57,1621.98
2013-11-07 04:55:00 +0800,1611.95,1525.33,1589.51,1620.14
2013-11-07 05:55:00 +0800,1612.63,1532.45,1598.27,1626.71
2013-11-07 06:55:00 +0800,1602.34,1524.3,1580.63,1629.1
2013-11-07 07:55:00 +0800,1606.83,1523.6,1596.2,1636.09
2013-11-07 08:55:00 +0800,1614.35,1527.41,1611.22,1640.71
2013-11-07 09:55:00 +0800,1617.37,1545.75,1630.8,1667.12
2013-11-07 10:55:00 +0800,1644.85,1587.03,1671.34,1727.7
2013-11-07 11:55:00 +0800,1678.72,1587.28,1667.5,1716.87
2013-11-07 12:55:00 +0800,1668.1,1577.99,1647.57,1721.34
2013-11-07 13:55:00 +0800,1682.95,1598.82,1669.37,1783.0
2013-11-07 14:55:00 +0800,1710.61,1620.19,1693.41,1802.96
2013-11-07 15:55:00 +0800,1790.88,1693.15,1732.55,1844.72
2013-11-07 16:55:00 +0800,1806.41,1665.9,1704.84,1837.68
2013-11-07 17:55:00 +0800,1938.06,1756.28,1756.54,1884.26
2013-11-07 18:55:00 +0800,1859.86,1684.43,1692.66,1853.96
2013-11-07 19:55:00 +0800,1878.82,1711.07,1727.33,1863.98
2013-11-07 20:55:00 +0800,1816.01,1661.45,1706.76,1837.53
2013-11-07 21:55:00 +0800,1854.66,1686.98,1726.24,1821.44
2013-11-07 22:55:00 +0800,1863.39,1690.02,1726.22,1814.49
2013-11-07 23:55:00 +0800,1934.49,1744.11,1755.51,1847.88
2013-11-08 00:55:00 +0800,1922.83,1735.39,1794.64,1846.34
2013-11-08 01:55:00 +0800,1892.21,1703.84,1779.69,1831.5
2013-11-08 02:55:00 +0800,1778.15,1624.18,1721.2,1813.5
2013-11-08 03:55:00 +0800,1795.31,1649.56,1757.07,1812.3
2013-11-08 04:55:00 +0800,1868.84,1689.84,1770.76,1810.79
2013-11-08 05:55:00 +0800,1884.41,1713.03,1770.85,1845.09
2013-11-08 06:55:00 +0800,1869.92,1708.09,1774.83,1847.18
2013-11-08 07:55:00 +0800,1884.67,1703.3,1760.91,1855.85
2013-11-08 08:55:00 +0800,1899.77,1720.11,1788.87,1881.07
2013-11-08 09:55:00 +0800,1937.06,1727.09,1797.13,1897.0
2013-11-08 10:55:00 +0800,1920.82,1737.93,1807.11,1909.72
2013-11-08 11:55:00 +0800,1955.26,1747.25,1812.94,1923.8
2013-11-08 12:55:00 +0800,1947.33,1762.62,1816.65,1933.95
2013-11-08 13:55:00 +0800,1991.1,1774.97,1847.31,1949.9
2013-11-08 14:55:00 +0800,2022.06,1774.67,1862.73,1977.38
2013-11-08 15:55:00 +0800,2031.42,1780.66,1874.42,1985.07
2013-11-08 16:55:00 +0800,1989.63,1741.4,1855.23,1975.5
2013-11-08 17:55:00 +0800,2026.92,1774.83,1890.69,1979.0
2013-11-08 18:55:00 +0800,2009.14,1760.68,1899.73,1978.62
2013-11-08 19:55:00 +0800,2015.11,1770.93,1891.09,1975.02
2013-11-08 20:55:00 +0800,2024.28,1772.95,1908.65,1966.42
2013-11-08 21:55:00 +0800,2078.01,1803.84,1935.81,1984.55
2013-11-08 22:55:00 +0800,2108.82,1832.76,1957.92,2022.63
2013-11-08 23:55:00 +0800,2164.81,1843.54,1980.27,2042.15
2013-11-09 00:55:00 +0800,2137.27,1870.02,1983.19,2085.32
2013-11-09 01:55:00 +0800,2107.77,1852.65,1979.43,2051.18
2013-11-09 02:55:00 +0800,2120.34,1875.79,1983.67,2076.35
2013-11-09 03:55:00 +0800,2110.47,1889.71,1976.59,2075.62
2013-11-09 04:55:00 +0800,2100.59,1885.86,1963.41
2013-11-09 05:55:00 +0800,2117.64,1879.37,1990.22,2069.89
2013-11-09 06:55:00 +0800,2107.52,1866.56,1992.52,2088.06
2013-11-09 07:55:00 +0800,2151.18,1903.05,2024.31,2173.88
2013-11-09 08:55:00 +0800,2221.49,1939.16,2052.66,2280.4
2013-11-09 09:55:00 +0800,2233.02,1978.2,2060.79,2320.3
2013-11-09 10:55:00 +0800,2262.79,2022.05,2094.64,2481.03
